TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.1
               TIME:                   X                   Z
                4.43           0.0296411           -0.107631
                4.44           0.0295484           -0.107708
                4.45           0.0294548           -0.107785
                4.46           0.0293602           -0.107861
                4.47           0.0292647           -0.107936
                4.48           0.0291683           -0.108011
                4.49            0.029071           -0.108085
                 4.5           0.0289727           -0.108159
                4.51           0.0288736           -0.108231
                4.52           0.0287735           -0.108304
                4.53           0.0286726           -0.108375
                4.54           0.0285708           -0.108446
                4.55           0.0284681           -0.108517
                4.56           0.0283646           -0.108586
                4.57           0.0282602           -0.108655
                4.58            0.028155           -0.108724
                4.59           0.0280489           -0.108791
                 4.6            0.027942           -0.108858
                4.61           0.0278342           -0.108924
                4.62           0.0277257            -0.10899
                4.63           0.0276163           -0.109055
                4.64           0.0275062           -0.109119
                4.65           0.0273953           -0.109183
                4.66           0.0272835           -0.109246
                4.67           0.0271711           -0.109308
                4.68           0.0270578           -0.109369
                4.69           0.0269438            -0.10943
                 4.7           0.0268291            -0.10949
                4.71           0.0267136           -0.109549
                4.72           0.0265974           -0.109607
                4.73           0.0264805           -0.109665
                4.74           0.0263628           -0.109722
                4.75           0.0262445           -0.109778
                4.76           0.0261255           -0.109834
                4.77           0.0260058           -0.109889
                4.78           0.0258854           -0.109943
                4.79           0.0257644           -0.109996
                 4.8           0.0256427           -0.110048
                4.81           0.0255203             -0.1101
                4.82           0.0253974           -0.110151
                4.83           0.0252738           -0.110201
                4.84           0.0251496            -0.11025
                4.85           0.0250248           -0.110299
                4.86           0.0248994           -0.110347
                4.87           0.0247734           -0.110394
                4.88           0.0246468            -0.11044
                4.89           0.0245197           -0.110485
                 4.9            0.024392            -0.11053
                4.91           0.0242638           -0.110574
                4.92            0.024135           -0.110616
                4.93           0.0240057           -0.110659
                4.94           0.0238759             -0.1107
                4.95           0.0237456            -0.11074
                4.96           0.0236148            -0.11078
                4.97           0.0234835           -0.110819
                4.98           0.0233517           -0.110857
                4.99           0.0232195           -0.110894
                   5           0.0230868            -0.11093
                5.01           0.0229536           -0.110966
                5.02           0.0228201           -0.111001
                5.03           0.0226861           -0.111034
                5.04           0.0225517           -0.111067
                5.05           0.0224169             -0.1111
                5.06           0.0222817           -0.111131
                5.07           0.0221461           -0.111161
                5.08           0.0220101           -0.111191
                5.09           0.0218738           -0.111219
