TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -1
               TIME:                   X                   Z
                5.86          0.00732446                  -1
                5.87          0.00723264                  -1
                5.88          0.00714118                  -1
                5.89          0.00705008                  -1
                 5.9          0.00695934                  -1
                5.91          0.00686898                  -1
                5.92            0.006779                  -1
                5.93          0.00668941                  -1
                5.94          0.00660022                  -1
                5.95          0.00651142                  -1
                5.96          0.00642304                  -1
                5.97          0.00633507                  -1
                5.98          0.00624752                  -1
                5.99          0.00616041                  -1
                   6          0.00607373                  -1
                6.01          0.00598749                  -1
                6.02           0.0059017                  -1
                6.03          0.00581637                  -1
                6.04           0.0057315                  -1
                6.05          0.00564709                  -1
                6.06          0.00556317                  -1
                6.07          0.00547973                  -1
                6.08          0.00539677                  -1
                6.09          0.00531432                  -1
                 6.1          0.00523236                  -1
                6.11          0.00515091                  -1
                6.12          0.00506997                  -1
                6.13          0.00498956                  -1
                6.14          0.00490967                  -1
                6.15          0.00483032                  -1
                6.16           0.0047515                  -1
                6.17          0.00467323                  -1
                6.18          0.00459551                  -1
                6.19          0.00451835                  -1
                 6.2          0.00444175                  -1
                6.21          0.00436572                  -1
                6.22          0.00429026                  -1
                6.23          0.00421538                  -1
                6.24          0.00414109                  -1
                6.25          0.00406739                  -1
                6.26          0.00399429                  -1
                6.27           0.0039218                  -1
                6.28          0.00384991                  -1
                6.29          0.00377864                  -1
                 6.3          0.00370798                  -1
                6.31          0.00363795                  -1
                6.32          0.00356856                  -1
                6.33           0.0034998                  -1
                6.34          0.00343167                  -1
                6.35           0.0033642                  -1
                6.36          0.00329738                  -1
                6.37          0.00323121                  -1
                6.38          0.00316571                  -1
                6.39          0.00310087                  -1
                 6.4          0.00303671                  -1
                6.41          0.00297322                  -1
                6.42          0.00291041                  -1
                6.43          0.00284829                  -1
                6.44          0.00278686                  -1
                6.45          0.00272613                  -1
                6.46           0.0026661                  -1
                6.47          0.00260677                  -1
                6.48          0.00254815                  -1
                6.49          0.00249024                  -1
                 6.5          0.00243306                  -1
                6.51           0.0023766                  -1
                6.52          0.00232086                  -1
                6.53          0.00226585                  -1
                6.54          0.00221158                  -1
                6.55          0.00215805                  -1
                6.56          0.00210527                  -1
                6.57          0.00205323                  -1
                6.58          0.00200194                  -1
                6.59          0.00195141                  -1
                 6.6          0.00190164                  -1
                6.61          0.00185263                  -1
                6.62          0.00180439                  -1
                6.63          0.00175692                  -1
                6.64          0.00171022                  -1
                6.65           0.0016643                  -1
                6.66          0.00161916                  -1
                6.67          0.00157481                  -1
                6.68          0.00153124                  -1
                6.69          0.00148846                  -1
                 6.7          0.00144648                  -1
                6.71           0.0014053                  -1
                6.72          0.00136491                  -1
                6.73          0.00132533                  -1
                6.74          0.00128656                  -1
                6.75           0.0012486                  -1
                6.76          0.00121145                  -1
                6.77          0.00117511                  -1
                6.78          0.00113959                  -1
                6.79          0.00110489                  -1
                 6.8          0.00107102                  -1
                6.81          0.00103797                  -1
                6.82          0.00100574                  -1
                6.83         0.000974353                  -1
                6.84         0.000943795                  -1
                6.85         0.000914071                  -1
                6.86         0.000885184                  -1
                6.87         0.000857137                  -1
                6.88         0.000829931                  -1
                6.89         0.000803568                  -1
                 6.9         0.000778051                  -1
                6.91         0.000753381                  -1
                6.92          0.00072956                  -1
                6.93          0.00070659                  -1
                6.94         0.000684472                  -1
                6.95         0.000663208                  -1
                6.96           0.0006428                  -1
                6.97         0.000623249                  -1
                6.98         0.000604556                  -1
                6.99         0.000586723                  -1
                   7         0.000569751                  -1
                7.01         0.000553642                  -1
                7.02         0.000538395                  -1
                7.03         0.000524014                  -1
                7.04         0.000510498                  -1
                7.05         0.000497848                  -1
                7.06         0.000486066                  -1
                7.07         0.000475152                  -1
                7.08         0.000465107                  -1
                7.09         0.000455931                  -1
                 7.1         0.000447626                  -1
                7.11         0.000440192                  -1
                7.12         0.000433628                  -1
                7.13         0.000427937                  -1
                7.14         0.000423117                  -1
                7.15          0.00041917                  -1
                7.16         0.000416095                  -1
                7.17         0.000413893                  -1
                7.18         0.000412563                  -1
                7.19         0.000412107                  -1
                 7.2         0.000412523                  -1
